中文社会科学引文索引（CSSCI）来源期刊
扩展版目录（2021-2022）
（共 229 种）
为进一步提升CSSCI数据库的更新频率，敬请各编辑部定期惠赠样刊1-2册。
寄送地址：江苏省南京市汉口路22号
南京大学中国社会科学研究评价中心 期刊事业部 210093
序号 学科名称 期刊名称 CN号
1 政治学 阿拉伯世界研究 31-1973/C
2 综合性高校学报 安徽师范大学学报(人文社会科学版) 34-1041/C
3 法学 北方法学 23-1546/D
4 民族学与文化学 北方民族大学学报(哲学社会科学版) 64-1065/G4
5 高校社科学报 北京航空航天大学学报(社会科学版) 11-3979/C
6 高校社科学报 北京交通大学学报(社会科学版) 11-5224/C
7 高校社科学报 北京理工大学学报(社会科学版) 11-4083/C
8 教育学 比较教育学报 31-2173/G4
9 新闻学与传播学 编辑学刊 31-1116/G2
10 法学 财经法学 10-1281/D
11 管理学 财务研究 10-1242/F
12 经济学 财政科学 10-1368/F
13 社会学 残疾人研究 11-6014/D
14 经济学 产经评论 44-1670/F
15 经济学 产业经济评论 10-1223/F
16 中国文学 长江学术 42-1754/H
17 自然资源与环境科学 城市与环境研究 10-1211/C
18 教育学 重庆高教研究 50-1028/G4
19 综合性社会科学 重庆社会科学 50-1168/C
20 新闻学与传播学 出版广角 45-1216/G2
21 新闻学与传播学 传媒 11-4574/G2
22 新闻学与传播学 传媒观察 32-1712/G2
23 艺术学 当代电视 11-1322/J
24 管理学 当代经济管理 13-1356/F
25 经济学 当代经济研究 22-1232/F
26 政治学 当代美国评论 10-1497/D
27 社会学 当代青年研究 31-1221/C
28 语言学 当代外语研究 31-2039/H
29 经济学 地方财政研究 21-1520/F
- 1 -
本目录仅供数据库用户参考，不作其他用途
序号 学科名称 期刊名称 CN号
30 法学 地方立法研究 44-1728/D
31 管理学 地方治理研究 36-1343/D
32 人文经济地理 地域研究与开发 41-1085/P
33 统计学 调研世界 11-3705/C
34 民族学与文化学 东疆学刊 22-1162/C
35 冷门绝学 敦煌学辑刊 62-1027/K
36 政治学 俄罗斯东欧中亚研究 10-1111/D
37 外国文学 俄罗斯文艺 11-5702/I
38 政治学 俄罗斯研究 31-1843/D
39 法学 法律适用 11-3126/D
40 法学 法学杂志 11-1648/D
41 法学 法治研究 33-1343/D
42 宗教学 佛学研究 11-3346/B
43 法学 甘肃政法大学学报 62-1219/D
44 政治学 港澳研究 10-1182/C
45 教育学 高教发展与评估 42-1731/G4
46 教育学 高教探索 44-1109/G4
47 管理学 公共管理评论 10-1653/D0
48 语言学 古汉语研究 43-1145/H
49 管理学 管理案例研究与评论 21-9202/G
50 综合性社会科学 广西社会科学 45-1185/C
51 综合性高校学报 广州大学学报(社会科学版) 44-1545/C
52 人文经济地理 规划师 45-1210/TU
53 综合性高校学报 贵州师范大学学报(社会科学版) 52-5005/C
54 人文经济地理 国际城市规划 11-5583/TU
55 法学 国际法研究 10-1216/D
56 政治学 国际关系研究 31-2085/D
57 历史学 国际汉学 10-1272/K
58 经济学 国际商务研究 31-1049/F
59 经济学 国际税收 10-1142/F
60 综合性高校学报 哈尔滨工业大学学报(社会科学版) 23-1448/C
61 经济学 哈尔滨商业大学学报(社会科学版) 23-1503/F
62 冷门绝学 海交史研究 35-1066/U
63 综合性高校学报 河北大学学报(哲学社会科学版) 13-1027/C
64 法学 河北法学 13-1023/D
65 经济学 河北经贸大学学报 13-1207/F
66 法学 河南财经政法大学学报 41-1420/Z
67 综合性社会科学 河南社会科学 41-1213/C
68 民族学与文化学 黑龙江民族丛刊 23-1021/C
69 中国文学 红楼梦学刊 11-1676/I
- 2 -
本目录仅供数据库用户参考，不作其他用途
序号 学科名称 期刊名称 CN号
70 管理学 宏观经济管理 11-3199/F
71 民族学与文化学 湖北民族大学学报(哲学社会科学版) 42-1907/C
72 综合性社会科学 湖北社会科学 42-1112/C
73 高校社科学报 湖南农业大学学报(社会科学版) 43-1325/C
74 综合性社会科学 湖南社会科学 43-1161/C
75 政治学 湖湘论坛 43-1160/D
76 管理学 华东经济管理 34-1014/F
77 高校社科学报 华东理工大学学报(社会科学版) 31-1779/C
78 综合性高校学报 华侨大学学报(哲学社会科学版) 35-1049/C
79 语言学 华文教学与研究 44-1669/G4
80 考古学 华夏考古 41-1014/K
81 自然资源与环境科学 环境保护 11-1700/X
82 民族学与文化学 回族研究 64-1016/C
83 教育学 基础教育 31-1914/G4
84 经济学 技术经济 11-1444/F
85 艺术学 建筑遗产 10-1071/TU
86 综合性高校学报 江苏大学学报(社会科学版) 32-1655/C
87 法学 交大法学 31-2075/D
88 教育学 教育经济评论 10-1410/G4
89 教育学 教育科学研究 11-4573/D
90 教育学 教育学术月刊 36-1301/G4
91 语言学 解放军外国语学院学报 41-1164/H
92 经济学 金融监管研究 10-1047/F
93 经济学 经济与管理 13-1032/F
94 经济学 经济与管理评论 37-1486/F
95 历史学 军事历史研究 10-1590/E
96 管理学 科技管理研究 44-1223/G3
97 法学 科技与法律 10-1731/N
98 管理学 科学与社会 10-1009/G3
99 宗教学 科学与无神论 11-4075/B
100 哲学 孔学堂 52-5035/C
101 综合性社会科学 兰州学刊 62-1015/C
102 综合性社会科学 理论月刊 42-1286/C
103 历史学 历史教学 12-1010/G4
104 历史学 历史教学问题 31-1016/G4
105 中国文学 鲁迅研究月刊 11-2722/I
106 艺术学 美术观察 11-3665/J
107 艺术学 民族艺术研究 53-1019/J
108 法学 南大法学 32-1889/D
109 经济学 南方金融 44-1479/F
- 3 -
本目录仅供数据库用户参考，不作其他用途
序号 学科名称 期刊名称 CN号
110 社会学 南方人口 44-1114/C
111 考古学 南方文物 36-1170/K
112 经济学 南京财经大学学报 32-1719/F
113 高校社科学报 南京工业大学学报(社会科学版) 32-1653/C
114 经济学 南京审计大学学报 32-1867/F
115 政治学 南亚研究季刊 51-1023/D
116 经济学 农林经济管理学报 36-1328/F
117 经济学 农业经济与管理 23-1564/F
118 综合性高校学报 齐鲁学刊 37-1085/C
119 民族学与文化学 青海民族大学学报(社会科学版) 63-1071/C
120 民族学与文化学 青海民族研究 63-1016/C
121 社会学 青年探索 44-1022/D
122 新闻学与传播学 全球传媒学刊 10-1270/G2
123 艺术学 人民音乐 11-1655/J
124 历史学 日本侵华南京大屠杀研究 32-1877/K
125 语言学 日语学习与研究 11-1619/H
126 经济学 上海金融 31-1160/F
127 中国文学 上海文化 31-1655/G0
128 管理学 社会保障研究 42-1792/F
129 社会学 社会建设 22-1410/C
130 综合性社会科学 社会科学家 45-1008/C
131 社会学 社会政策研究 10-1428/D
132 马克思主义理论 社会主义核心价值观研究 10-1350/D
133 人文经济地理 世界地理研究 31-1626/P
134 艺术学 世界电影 11-2023/G2
135 经济学 世界农业 11-1097/S
136 马克思主义理论 世界社会主义研究 10-1443/D
137 经济学 首都经济贸易大学学报 11-4579/F
138 体育学 首都体育学院学报 11-4513/G
139 艺术学 书法研究 31-2115/J
140 教育学 数学教育学报 12-1194/G4
141 图书馆、情报与文献学 数字图书馆论坛 11-5359/G2
142 经济学 税务与经济 22-1210/F
143 马克思主义理论 苏区研究 36-1341/C
144 法学 苏州大学学报(法学版) 32-1846/D
145 教育学 苏州大学学报(教育科学版) 32-1843/G4
146 政治学 台湾研究集刊 35-1022/C
147 体育学 体育文化导刊 11-4612/G8
148 综合性社会科学 天府新论 51-1035/C
149 教育学 天津师范大学学报(基础教育版) 12-1315/G4
- 4 -
